id_kaggle,team_kaggle,team_kenpom,team_538,id_538,team_massey
1307,New Mexico,New Mexico,,,New Mexico
1308,New Mexico St,New Mexico St.,,,New Mexico St
1309,New Orleans,New Orleans,,,New Orleans
1310,Niagara,Niagara,,,Niagara
1311,Nicholls St,Nicholls St.,,,Nicholls St
1312,NJIT,NJIT,,,NJIT
1313,Norfolk St,Norfolk St.,Norfolk State,2450,Norfolk St
1314,North Carolina,North Carolina,North Carolina,153,North Carolina
1315,North Dakota,North Dakota,,,North Dakota
1316,North Florida,North Florida,,,North Florida
1317,North Texas,North Texas,North Texas,249,North Texas
1318,Northeastern,Northeastern,,,Northeastern
1319,Northern Arizona,Northern Arizona,,,Northern Arizona
1320,Northern Iowa,Northern Iowa,,,Northern Iowa
1321,Northwestern,Northwestern,,,Northwestern
1322,Northwestern LA,Northwestern St.,,,Northwestern LA
1323,Notre Dame,Notre Dame,,,Notre Dame
1324,Oakland,Oakland,,,Oakland
1325,Ohio,Ohio,Ohio,195,Ohio
1326,Ohio St,Ohio St.,Ohio State,194,Ohio St
1327,Okla City,,,,
1328,Oklahoma,Oklahoma,Oklahoma,201,Oklahoma
1329,Oklahoma St,Oklahoma St.,Oklahoma State,197,Oklahoma St
1330,Old Dominion,Old Dominion,,,Old Dominion
1331,Oral Roberts,Oral Roberts,Oral Roberts,198,Oral Roberts
1332,Oregon,Oregon,Oregon,2483,Oregon
1333,Oregon St,Oregon St.,Oregon State,204,Oregon St
1334,Pacific,Pacific,,,Pacific
1335,Penn,Penn,,,Penn
1336,Penn St,Penn St.,,,Penn St
1337,Pepperdine,Pepperdine,,,Pepperdine
1338,Pittsburgh,Pittsburgh,,,Pittsburgh
1339,Portland,Portland,,,Portland
1340,Portland St,Portland St.,,,Portland St
1341,Prairie View,Prairie View A&M,,,Prairie View
1342,Presbyterian,Presbyterian,,,Presbyterian
1343,Princeton,Princeton,,,Princeton
1344,Providence,Providence,,,Providence
1345,Purdue,Purdue,Purdue,2509,Purdue
1346,Quinnipiac,Quinnipiac,,,Quinnipiac
1347,Radford,Radford,,,Radford
1348,Rhode Island,Rhode Island,,,Rhode Island
1349,Rice,Rice,,,Rice
1350,Richmond,Richmond,,,Richmond
1351,Rider,Rider,,,Rider
1352,Robert Morris,Robert Morris,,,Robert Morris
1353,Rutgers,Rutgers,Rutgers,164,Rutgers
1354,S Carolina St,South Carolina St.,,,S Carolina St
1355,S Dakota St,South Dakota St.,,,S Dakota St
1356,S Illinois,Southern Illinois,,,S Illinois
1357,Sacred Heart,Sacred Heart,,,Sacred Heart
1358,Sam Houston St,Sam Houston St.,,,Sam Houston St
1359,Samford,Samford,,,Samford
1360,San Diego,San Diego,,,San Diego
1361,San Diego St,San Diego St.,San Diego State,21,San Diego St
1362,San Francisco,San Francisco,,,San Francisco
1363,San Jose St,San Jose St.,,,San Jose St
1364,UC Santa Barbara,UC Santa Barbara,UC-Santa Barbara,2540,UC Santa Barbara
1365,Santa Clara,Santa Clara,,,Santa Clara
1366,Savannah St,Savannah St.,,,
1367,SC Upstate,South Carolina St.,,,SC Upstate
1368,SE Louisiana,Southeastern Louisiana,,,SE Louisiana
1369,SE Missouri St,Southeast Missouri St.,,,SE Missouri St
1370,Seattle,Seattle,,,Seattle
1371,Seton Hall,Seton Hall,,,Seton Hall
1372,SF Austin,Stephen F. Austin,,,SF Austin
1373,Siena,Siena,,,Siena
1374,SMU,SMU,,,SMU
1375,South Alabama,South Alabama,,,South Alabama
1376,South Carolina,South Carolina,,,South Carolina
1377,South Dakota,South Dakota,,,South Dakota
1378,South Florida,South Florida,,,South Florida
1379,Southern Miss,Southern Miss,,,Southern Miss
1380,Southern Univ,Southern,,,Southern Univ
1381,Southern Utah,Southern Utah,,,Southern Utah
1382,St Bonaventure,St. Bonaventure,St. Bonaventure,179,St Bonaventure
1383,St Francis NY,St. Francis NY,,,St Francis NY
1384,St Francis PA,St. Francis PA,,,St Francis PA
1385,St John's,St. Johns,,,St John's
1386,St Joseph's PA,Saint Josephs,,,St Joseph's PA
1387,St Louis,Saint Louis,,,St Louis
1388,St Mary's CA,Saint Marys,,,St Mary's CA
1389,St Peter's,Saint Peters,,,St Peter's
1390,Stanford,Stanford,,,Stanford
1391,Stetson,Stetson,,,Stetson
1392,Stony Brook,Stony Brook,,,Stony Brook
1393,Syracuse,Syracuse,Syracuse,183,Syracuse
1394,TAM C. Christi,Texas A&M Corpus Chris,,,TAM C. Christi
1395,TCU,TCU,,,TCU
1396,Temple,Temple,,,Temple
1397,Tennessee,Tennessee,Tennessee,2633,Tennessee
1398,Tennessee St,Tennessee St.,,,Tennessee St
1399,Tennessee Tech,Tennessee Tech,,,Tennessee Tech
1400,Texas,Texas,Texas,251,Texas
1401,Texas A&M,Texas A&M,,,Texas A&M
1402,Texas St,Southwest Texas St.,,,Texas St
1402,Texas St,Texas St.,,,Texas St
1403,Texas Tech,Texas Tech,Texas Tech,2641,Texas Tech
1404,TN Martin,Tennessee Martin,,,TN Martin
1405,Toledo,Toledo,,,Toledo
1406,Towson,Towson,,,Towson
1407,Troy,Troy St.,,,Troy
1407,Troy,Troy,,,Troy
1408,Tulane,Tulane,,,Tulane
1409,Tulsa,Tulsa,,,Tulsa
1410,UTRGV,UT Rio Grande Valley,,,UTRGV
1410,UTRGV,Texas Pan American,,,UTRGV
1411,TX Southern,Texas Southern,Texas Southern,2640,TX 
1412,UAB,UAB,,,UAB
1413,UC Davis,UC Davis,,,UC Davis
1414,UC Irvine,UC Irvine,,,UC Irvine
1415,UC Riverside,UC Riverside,,,UC Riverside
1416,UCF,UCF,,,UCF
1417,UCLA,UCLA,UCLA,26,UCLA
1418,Louisiana,Louisiana Lafayette,,,Louisiana
1418,Louisiana,Louisiana,,,Louisiana
1419,ULM,Louisiana Monroe,,,ULM
1420,UMBC,UMBC,,,UMBC
1421,UNC Asheville,UNC Asheville,,,UNC Asheville
1422,UNC Greensboro,UNC Greensboro,North Carolina-Greensboro,2430,UNC Greensboro
1423,UNC Wilmington,UNC Wilmington,,,UNC Wilmington
1424,UNLV,UNLV,,,UNLV
1425,USC,USC,Southern California,30,USC
1426,UT Arlington,UT Arlington,,,UT Arlington
1427,UT San Antonio,UTSA,,,UT San Antonio
1428,Utah,Utah,,,Utah
1429,Utah St,Utah St.,Utah State,328,Utah St
1430,Utah Valley,Utah Valley St.,,,Utah Valley
1430,Utah Valley,Utah Valley,,,Utah Valley
1431,UTEP,UTEP,,,UTEP
1432,Utica,,,,Utica
1433,VCU,VCU,Virginia Commonwealth,2670,VCU
1434,Valparaiso,Valparaiso,,,Valparaiso
1435,Vanderbilt,Vanderbilt,,,Vanderbilt
1436,Vermont,Vermont,,,Vermont
1437,Villanova,Villanova,Villanova,222,Villanova
1438,Virginia,Virginia,Virginia,258,Virginia
1439,Virginia Tech,Virginia Tech,Virginia Tech,259,Virginia Tech
1440,VMI,VMI,,,VMI
1441,W Carolina,Western Carolina,,,W Carolina
1442,W Illinois,Western Illinois,,,W Illinois
1443,WKU,Western Kentucky,,,WKU
1444,W Michigan,Western Michigan,,,W Michigan
1445,W Salem St,Winston Salem St.,,,
1446,W Texas A&M,,,,
1447,Wagner,Wagner,,,Wagner
1448,Wake Forest,Wake Forest,,,Wake Forest
1449,Washington,Washington,,,Washington
1450,Washington St,Washington St.,,,Washington St
1451,Weber St,Weber St.,,,Weber St
1452,West Virginia,West Virginia,West Virginia,277,West Virginia
1453,WI Green Bay,Green Bay,,,WI Green Bay
1454,WI Milwaukee,Milwaukee,,,WI Milwaukee
1455,Wichita St,Wichita St.,Wichita State,2724,Wichita St
1456,William & Mary,William & Mary,,,William & Mary
1457,Winthrop,Winthrop,Winthrop,2737,Winthrop
1458,Wisconsin,Wisconsin,Wisconsin,275,Wisconsin
1459,Wofford,Wofford,,,Wofford
1460,Wright St,Wright St.,,,Wright St
1461,Wyoming,Wyoming,,,Wyoming
1462,Xavier,Xavier,,,Xavier
1463,Yale,Yale,,,Yale
1464,Youngstown St,Youngstown St.,,,Youngstown St
1465,Cal Baptist,Cal Baptist,,,Cal Baptist
1466,North Alabama,North Alabama,,,North Alabama
1467,Merrimack,Merrimack,,,Merrimack
1468,Bellarmine,,,,Bellarmine
1469,Dixie St,,,,Dixie St
1470,Tarleton St,,,,Tarleton St
1471,UC San Diego,,,,UC San Diego
999,,Charleston,,,
99999,,USC Upstate,,,
999999,,LIU,,,
